gene_id	gene_name	description	gene_biotype
ENSMUSG00000048277	Syngr2	synaptogyrin 2 [Source:MGI Symbol;Acc:MGI:1328324]	protein_coding
ENSMUSG00000025574	Tk1	thymidine kinase 1 [Source:MGI Symbol;Acc:MGI:98763]	protein_coding
ENSMUSG00000017718	Afmid	arylformamidase [Source:MGI Symbol;Acc:MGI:2448704]	protein_coding
ENSMUSG00000017716	Birc5	baculoviral IAP repeat-containing 5 [Source:MGI Symbol;Acc:MGI:1203517]	protein_coding
ENSMUSG00000070330	Tmem235	transmembrane protein 235 [Source:MGI Symbol;Acc:MGI:3651706]	protein_coding
ENSMUSG00000017713	Tha1	threonine aldolase 1 [Source:MGI Symbol;Acc:MGI:1919026]	protein_coding
ENSMUSG00000085434	Gm11725	predicted gene 11725 [Source:MGI Symbol;Acc:MGI:3649385]	lncRNA
ENSMUSG00000053113	Socs3	suppressor of cytokine signaling 3 [Source:MGI Symbol;Acc:MGI:1201791]	protein_coding
ENSMUSG00000017715	Pgs1	phosphatidylglycerophosphate synthase 1 [Source:MGI Symbol;Acc:MGI:1921701]	protein_coding
ENSMUSG00000033987	Dnah17	dynein, axonemal, heavy chain 17 [Source:MGI Symbol;Acc:MGI:1917176]	protein_coding
ENSMUSG00000085511	Gm11738	predicted gene 11738 [Source:MGI Symbol;Acc:MGI:3650365]	lncRNA
ENSMUSG00000017132	Cyth1	cytohesin 1 [Source:MGI Symbol;Acc:MGI:1334257]	protein_coding
ENSMUSG00000033909	Usp36	ubiquitin specific peptidase 36 [Source:MGI Symbol;Acc:MGI:1919594]	protein_coding
ENSMUSG00000017466	Timp2	tissue inhibitor of metalloproteinase 2 [Source:MGI Symbol;Acc:MGI:98753]	protein_coding
ENSMUSG00000076433	Cep295nl	CEP295 N-terminal like [Source:MGI Symbol;Acc:MGI:1929713]	protein_coding
ENSMUSG00000033880	Lgals3bp	lectin, galactoside-binding, soluble, 3 binding protein [Source:MGI Symbol;Acc:MGI:99554]	protein_coding
ENSMUSG00000025575	Cant1	calcium activated nucleotidase 1 [Source:MGI Symbol;Acc:MGI:1923275]	protein_coding
ENSMUSG00000017446	C1qtnf1	C1q and tumor necrosis factor related protein 1 [Source:MGI Symbol;Acc:MGI:1919254]	protein_coding
ENSMUSG00000086514	Gm11747	predicted gene 11747 [Source:MGI Symbol;Acc:MGI:3702093]	lncRNA
ENSMUSG00000087036	Gm11748	predicted gene 11748 [Source:MGI Symbol;Acc:MGI:3704384]	lncRNA
ENSMUSG00000033857	Engase	endo-beta-N-acetylglucosaminidase [Source:MGI Symbol;Acc:MGI:2443788]	protein_coding
ENSMUSG00000025576	Rbfox3	RNA binding protein, fox-1 homolog (C. elegans) 3 [Source:MGI Symbol;Acc:MGI:106368]	protein_coding
ENSMUSG00000085059	Gm11750	predicted gene 11750 [Source:MGI Symbol;Acc:MGI:3650640]	lncRNA
ENSMUSG00000084887	Gm11749	predicted gene 11749 [Source:MGI Symbol;Acc:MGI:3652041]	lncRNA
ENSMUSG00000046697	Enpp7	ectonucleotide pyrophosphatase/phosphodiesterase 7 [Source:MGI Symbol;Acc:MGI:3027917]	protein_coding
ENSMUSG00000025577	Cbx2	chromobox 2 [Source:MGI Symbol;Acc:MGI:88289]	protein_coding
ENSMUSG00000025578	Cbx8	chromobox 8 [Source:MGI Symbol;Acc:MGI:1353589]	protein_coding
ENSMUSG00000039989	Cbx4	chromobox 4 [Source:MGI Symbol;Acc:MGI:1195985]	protein_coding
ENSMUSG00000086306	Gm11754	predicted gene 11754 [Source:MGI Symbol;Acc:MGI:3651697]	lncRNA
ENSMUSG00000086547	Gm11755	predicted gene 11755 [Source:MGI Symbol;Acc:MGI:3651696]	lncRNA
ENSMUSG00000039976	Tbc1d16	TBC1 domain family, member 16 [Source:MGI Symbol;Acc:MGI:2652878]	protein_coding
ENSMUSG00000085548	Gm11753	predicted gene 11753 [Source:MGI Symbol;Acc:MGI:3651699]	lncRNA
ENSMUSG00000087404	Gm11752	predicted gene 11752 [Source:MGI Symbol;Acc:MGI:3651700]	lncRNA
ENSMUSG00000039963	Ccdc40	coiled-coil domain containing 40 [Source:MGI Symbol;Acc:MGI:2443893]	protein_coding
ENSMUSG00000025579	Gaa	glucosidase, alpha, acid [Source:MGI Symbol;Acc:MGI:95609]	protein_coding
ENSMUSG00000025580	Eif4a3	eukaryotic translation initiation factor 4A3 [Source:MGI Symbol;Acc:MGI:1923731]	protein_coding
ENSMUSG00000013483	Card14	caspase recruitment domain family, member 14 [Source:MGI Symbol;Acc:MGI:2386258]	protein_coding
ENSMUSG00000005043	Sgsh	N-sulfoglucosamine sulfohydrolase (sulfamidase) [Source:MGI Symbol;Acc:MGI:1350341]	protein_coding
ENSMUSG00000039908	Slc26a11	solute carrier family 26, member 11 [Source:MGI Symbol;Acc:MGI:2444589]	protein_coding
ENSMUSG00000070327	Rnf213	ring finger protein 213 [Source:MGI Symbol;Acc:MGI:1289196]	protein_coding
ENSMUSG00000109408	A930037H05Rik	RIKEN cDNA A930037H05 gene [Source:MGI Symbol;Acc:MGI:1925689]	lncRNA
ENSMUSG00000039850	Endov	endonuclease V [Source:MGI Symbol;Acc:MGI:2444688]	protein_coding
ENSMUSG00000025582	Nptx1	neuronal pentraxin 1 [Source:MGI Symbol;Acc:MGI:107811]	protein_coding
ENSMUSG00000087675	Gm11762	predicted gene 11762 [Source:MGI Symbol;Acc:MGI:3651277]	lncRNA
ENSMUSG00000025583	Rptor	regulatory associated protein of MTOR, complex 1 [Source:MGI Symbol;Acc:MGI:1921620]	protein_coding
ENSMUSG00000085081	Rptoros	regulatory associated protein of MTOR, complex 1, opposite strand [Source:MGI Symbol;Acc:MGI:2442055]	lncRNA
ENSMUSG00000025371	Chmp6	charged multivesicular body protein 6 [Source:MGI Symbol;Acc:MGI:3583942]	protein_coding
ENSMUSG00000085207	Gm11767	predicted gene 11767 [Source:MGI Symbol;Acc:MGI:3650674]	lncRNA
ENSMUSG00000086924	Gm11766	predicted gene 11766 [Source:MGI Symbol;Acc:MGI:3650673]	lncRNA
ENSMUSG00000025372	Baiap2	brain-specific angiogenesis inhibitor 1-associated protein 2 [Source:MGI Symbol;Acc:MGI:2137336]	protein_coding
ENSMUSG00000025375	Aatk	apoptosis-associated tyrosine kinase [Source:MGI Symbol;Acc:MGI:1197518]	protein_coding
ENSMUSG00000039781	Cep131	centrosomal protein 131 [Source:MGI Symbol;Acc:MGI:107440]	protein_coding
ENSMUSG00000025377	Tepsin	TEPSIN, adaptor related protein complex 4 accessory protein [Source:MGI Symbol;Acc:MGI:1926027]	protein_coding
ENSMUSG00000078572	Ndufaf8	NADH:ubiquinone oxidoreductase complex assembly factor 8 [Source:MGI Symbol;Acc:MGI:1913676]	protein_coding
ENSMUSG00000061306	Slc38a10	solute carrier family 38, member 10 [Source:MGI Symbol;Acc:MGI:1919305]	protein_coding
ENSMUSG00000085636	Gm11769	predicted gene 11769 [Source:MGI Symbol;Acc:MGI:3702101]	lncRNA
ENSMUSG00000075389	2810410L24Rik	RIKEN cDNA 2810410L24 gene [Source:MGI Symbol;Acc:MGI:1923627]	lncRNA
ENSMUSG00000086750	Gm11770	predicted gene 11770 [Source:MGI Symbol;Acc:MGI:3651450]	lncRNA
ENSMUSG00000043993	2900052L18Rik	RIKEN cDNA 2900052L18 gene [Source:MGI Symbol;Acc:MGI:1924085]	lncRNA
ENSMUSG00000039741	Bahcc1	BAH domain and coiled-coil containing 1 [Source:MGI Symbol;Acc:MGI:2679272]	protein_coding
ENSMUSG00000085501	Gm11772	predicted gene 11772 [Source:MGI Symbol;Acc:MGI:3649468]	lncRNA
ENSMUSG00000062825	Actg1	actin, gamma, cytoplasmic 1 [Source:MGI Symbol;Acc:MGI:87906]	protein_coding
ENSMUSG00000043644	0610009L18Rik	RIKEN cDNA 0610009L18 gene [Source:MGI Symbol;Acc:MGI:1914088]	lncRNA
ENSMUSG00000025380	Fscn2	fascin actin-bundling protein 2 [Source:MGI Symbol;Acc:MGI:2443337]	protein_coding
ENSMUSG00000025384	Faap100	Fanconi anemia core complex associated protein 100 [Source:MGI Symbol;Acc:MGI:1919135]	protein_coding
ENSMUSG00000039703	Nploc4	NPL4 homolog, ubiquitin recognition factor [Source:MGI Symbol;Acc:MGI:2679787]	protein_coding
ENSMUSG00000039691	Tspan10	tetraspanin 10 [Source:MGI Symbol;Acc:MGI:2384781]	protein_coding
ENSMUSG00000025386	Pde6g	phosphodiesterase 6G, cGMP-specific, rod, gamma [Source:MGI Symbol;Acc:MGI:97526]	protein_coding
ENSMUSG00000039670	Oxld1	oxidoreductase like domain containing 1 [Source:MGI Symbol;Acc:MGI:1913681]	protein_coding
ENSMUSG00000049957	Ccdc137	coiled-coil domain containing 137 [Source:MGI Symbol;Acc:MGI:1914541]	protein_coding
ENSMUSG00000057594	Arl16	ADP-ribosylation factor-like 16 [Source:MGI Symbol;Acc:MGI:1917567]	protein_coding
ENSMUSG00000025793	Hgs	HGF-regulated tyrosine kinase substrate [Source:MGI Symbol;Acc:MGI:104681]	protein_coding
ENSMUSG00000039640	Mrpl12	mitochondrial ribosomal protein L12 [Source:MGI Symbol;Acc:MGI:1926273]	protein_coding
ENSMUSG00000086929	Gm11788	predicted gene 11788 [Source:MGI Symbol;Acc:MGI:3649943]	lncRNA
ENSMUSG00000025792	Slc25a10	solute carrier family 25 (mitochondrial carrier, dicarboxylate transporter), member 10 [Source:MGI Symbol;Acc:MGI:1353497]	protein_coding
ENSMUSG00000084983	Gm11789	predicted gene 11789 [Source:MGI Symbol;Acc:MGI:3650495]	lncRNA
ENSMUSG00000025127	Gcgr	glucagon receptor [Source:MGI Symbol;Acc:MGI:99572]	protein_coding
ENSMUSG00000061111	Mcrip1	MAPK regulated corepressor interacting protein 1 [Source:MGI Symbol;Acc:MGI:2384752]	protein_coding
ENSMUSG00000025129	Ppp1r27	protein phosphatase 1, regulatory subunit 27 [Source:MGI Symbol;Acc:MGI:1915951]	protein_coding
ENSMUSG00000025130	P4hb	prolyl 4-hydroxylase, beta polypeptide [Source:MGI Symbol;Acc:MGI:97464]	protein_coding
ENSMUSG00000025132	Arhgdia	Rho GDP dissociation inhibitor (GDI) alpha [Source:MGI Symbol;Acc:MGI:2178103]	protein_coding
ENSMUSG00000025134	Alyref	Aly/REF export factor [Source:MGI Symbol;Acc:MGI:1341044]	protein_coding
ENSMUSG00000025135	Anapc11	anaphase promoting complex subunit 11 [Source:MGI Symbol;Acc:MGI:1913406]	protein_coding
ENSMUSG00000044034	Npb	neuropeptide B [Source:MGI Symbol;Acc:MGI:2387153]	protein_coding
ENSMUSG00000025137	Pcyt2	phosphate cytidylyltransferase 2, ethanolamine [Source:MGI Symbol;Acc:MGI:1915921]	protein_coding
ENSMUSG00000025138	Sirt7	sirtuin 7 [Source:MGI Symbol;Acc:MGI:2385849]	protein_coding
ENSMUSG00000051510	Mafg	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G (avian) [Source:MGI Symbol;Acc:MGI:96911]	protein_coding
ENSMUSG00000025140	Pycr1	pyrroline-5-carboxylate reductase 1 [Source:MGI Symbol;Acc:MGI:2384795]	protein_coding
ENSMUSG00000025141	Myadml2	myeloid-associated differentiation marker-like 2 [Source:MGI Symbol;Acc:MGI:1915765]	protein_coding
ENSMUSG00000084822	Myadml2os	myeloid-associated differentiation marker-like 2, opposite strand [Source:MGI Symbol;Acc:MGI:3650756]	lncRNA
ENSMUSG00000042988	Notum	notum palmitoleoyl-protein carboxylesterase [Source:MGI Symbol;Acc:MGI:1924833]	protein_coding
ENSMUSG00000053613	Notumos	notum palmitoleoyl-protein carboxylesterase, opposite strand [Source:MGI Symbol;Acc:MGI:3698431]	lncRNA
ENSMUSG00000025142	Aspscr1	alveolar soft part sarcoma chromosome region, candidate 1 (human) [Source:MGI Symbol;Acc:MGI:1916188]	protein_coding
ENSMUSG00000090758	Gm17178	predicted gene 17178 [Source:MGI Symbol;Acc:MGI:4938005]	lncRNA
ENSMUSG00000025144	Cenpx	centromere protein X [Source:MGI Symbol;Acc:MGI:894324]	protein_coding
ENSMUSG00000025145	Lrrc45	leucine rich repeat containing 45 [Source:MGI Symbol;Acc:MGI:2387183]	protein_coding
ENSMUSG00000018012	Rac3	Rac family small GTPase 3 [Source:MGI Symbol;Acc:MGI:2180784]	protein_coding
ENSMUSG00000039450	Dcxr	dicarbonyl L-xylulose reductase [Source:MGI Symbol;Acc:MGI:1915130]	protein_coding
ENSMUSG00000025150	Cbr2	carbonyl reductase 2 [Source:MGI Symbol;Acc:MGI:107200]	protein_coding
ENSMUSG00000078249	Hmga1b	high mobility group AT-hook 1B [Source:MGI Symbol;Acc:MGI:96161]	protein_coding
ENSMUSG00000025158	Rfng	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:MGI Symbol;Acc:MGI:894275]	protein_coding
ENSMUSG00000025156	Gps1	G protein pathway suppressor 1 [Source:MGI Symbol;Acc:MGI:2384801]	protein_coding
ENSMUSG00000025155	Dus1l	dihydrouridine synthase 1-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1915980]	protein_coding
ENSMUSG00000025153	Fasn	fatty acid synthase [Source:MGI Symbol;Acc:MGI:95485]	protein_coding
ENSMUSG00000048445	Ccdc57	coiled-coil domain containing 57 [Source:MGI Symbol;Acc:MGI:1918526]	protein_coding
ENSMUSG00000087638	Gm11773	predicted gene 11773 [Source:MGI Symbol;Acc:MGI:3651310]	lncRNA
ENSMUSG00000025161	Slc16a3	solute carrier family 16 (monocarboxylic acid transporters), member 3 [Source:MGI Symbol;Acc:MGI:1933438]	protein_coding
ENSMUSG00000025162	Csnk1d	casein kinase 1, delta [Source:MGI Symbol;Acc:MGI:1355272]	protein_coding
ENSMUSG00000100629	Gm28192	predicted gene 28192 [Source:MGI Symbol;Acc:MGI:5578898]	lncRNA
ENSMUSG00000086835	Gm11775	predicted gene 11775 [Source:MGI Symbol;Acc:MGI:3651517]	lncRNA
ENSMUSG00000025163	Cd7	CD7 antigen [Source:MGI Symbol;Acc:MGI:88344]	protein_coding
ENSMUSG00000039364	Sectm1b	secreted and transmembrane 1B [Source:MGI Symbol;Acc:MGI:1929083]	protein_coding
ENSMUSG00000025165	Sectm1a	secreted and transmembrane 1A [Source:MGI Symbol;Acc:MGI:2384805]	protein_coding
ENSMUSG00000084853	Gm11791	predicted gene 11791 [Source:MGI Symbol;Acc:MGI:3652129]	lncRNA
ENSMUSG00000039337	Tex19.2	testis expressed gene 19.2 [Source:MGI Symbol;Acc:MGI:1918206]	protein_coding
ENSMUSG00000039329	Tex19.1	testis expressed gene 19.1 [Source:MGI Symbol;Acc:MGI:1920929]	protein_coding
ENSMUSG00000039321	Uts2r	urotensin 2 receptor [Source:MGI Symbol;Acc:MGI:2183450]	protein_coding
ENSMUSG00000025169	Ogfod3	2-oxoglutarate and iron-dependent oxygenase domain containing 3 [Source:MGI Symbol;Acc:MGI:1913429]	protein_coding
ENSMUSG00000039307	Hexdc	hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing [Source:MGI Symbol;Acc:MGI:3605542]	protein_coding
ENSMUSG00000039294	Cybc1	cytochrome b 245 chaperone 1 [Source:MGI Symbol;Acc:MGI:2384959]	protein_coding
ENSMUSG00000000056	Narf	nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]	protein_coding
ENSMUSG00000039275	Foxk2	forkhead box K2 [Source:MGI Symbol;Acc:MGI:1916087]	protein_coding
ENSMUSG00000025173	Wdr45b	WD repeat domain 45B [Source:MGI Symbol;Acc:MGI:1914090]	protein_coding
ENSMUSG00000025170	Rab40b	Rab40B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:2183451]	protein_coding
ENSMUSG00000039253	Fn3krp	fructosamine 3 kinase related protein [Source:MGI Symbol;Acc:MGI:2679256]	protein_coding
ENSMUSG00000025175	Fn3k	fructosamine 3 kinase [Source:MGI Symbol;Acc:MGI:1926834]	protein_coding
ENSMUSG00000039230	Tbcd	tubulin-specific chaperone d [Source:MGI Symbol;Acc:MGI:1919686]	protein_coding
ENSMUSG00000039238	Zfp750	zinc finger protein 750 [Source:MGI Symbol;Acc:MGI:2442210]	protein_coding
ENSMUSG00000046605	B3gntl1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1 [Source:MGI Symbol;Acc:MGI:2441705]	protein_coding
ENSMUSG00000039208	Metrnl	meteorin, glial cell differentiation regulator-like [Source:MGI Symbol;Acc:MGI:2384806]	protein_coding
ENSMUSG00000085126	Gm12589	predicted gene 12589 [Source:MGI Symbol;Acc:MGI:3650371]	lncRNA
ENSMUSG00000099690	Gm29513	predicted gene 29513 [Source:MGI Symbol;Acc:MGI:5580219]	lncRNA
ENSMUSG00000085970	Gm15643	predicted gene 15643 [Source:MGI Symbol;Acc:MGI:3783087]	lncRNA
ENSMUSG00000039198	Ptchd3	patched domain containing 3 [Source:MGI Symbol;Acc:MGI:1921925]	protein_coding
ENSMUSG00000086684	Gm12590	predicted gene 12590 [Source:MGI Symbol;Acc:MGI:3650370]	lncRNA
ENSMUSG00000079179	Rab10os	RAB10, member RAS oncogene family, opposite strand [Source:MGI Symbol;Acc:MGI:1921423]	lncRNA
ENSMUSG00000020671	Rab10	RAB10, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105066]	protein_coding
ENSMUSG00000097429	Gm26520	predicted gene, 26520 [Source:MGI Symbol;Acc:MGI:5477014]	lncRNA
ENSMUSG00000020668	Kif3c	kinesin family member 3C [Source:MGI Symbol;Acc:MGI:107979]	protein_coding
ENSMUSG00000112308	Gm48512	predicted gene, 48512 [Source:MGI Symbol;Acc:MGI:6098046]	lncRNA
ENSMUSG00000071456	1110002L01Rik	RIKEN cDNA 1110002L01 gene [Source:MGI Symbol;Acc:MGI:1915821]	lncRNA
ENSMUSG00000037486	Asxl2	additional sex combs like 2, transcriptional regulator [Source:MGI Symbol;Acc:MGI:1922552]	protein_coding
ENSMUSG00000071454	Dtnb	dystrobrevin, beta [Source:MGI Symbol;Acc:MGI:1203728]	protein_coding
ENSMUSG00000092286	Dtnbos	dystrobrevin, beta, opposite strand [Source:MGI Symbol;Acc:MGI:5141913]	lncRNA
ENSMUSG00000020661	Dnmt3a	DNA methyltransferase 3A [Source:MGI Symbol;Acc:MGI:1261827]	protein_coding
ENSMUSG00000073242	Dnmt3aos	DNA methyltransferase 3A, opposite strand [Source:MGI Symbol;Acc:MGI:3641689]	lncRNA
ENSMUSG00000020660	Pomc	pro-opiomelanocortin-alpha [Source:MGI Symbol;Acc:MGI:97742]	protein_coding
ENSMUSG00000020658	Efr3b	EFR3 homolog B [Source:MGI Symbol;Acc:MGI:2444851]	protein_coding
ENSMUSG00000112517	Gm48001	predicted gene, 48001 [Source:MGI Symbol;Acc:MGI:6097301]	lncRNA
ENSMUSG00000020657	Dnajc27	DnaJ heat shock protein family (Hsp40) member C27 [Source:MGI Symbol;Acc:MGI:2443036]	protein_coding
ENSMUSG00000020654	Adcy3	adenylate cyclase 3 [Source:MGI Symbol;Acc:MGI:99675]	protein_coding
ENSMUSG00000020652	Cenpo	centromere protein O [Source:MGI Symbol;Acc:MGI:1923800]	protein_coding
ENSMUSG00000096199	Ptrhd1	peptidyl-tRNA hydrolase domain containing 1 [Source:MGI Symbol;Acc:MGI:1916959]	protein_coding
ENSMUSG00000111916	4921501I09Rik	RIKEN cDNA 4921501I09 gene [Source:MGI Symbol;Acc:MGI:1925341]	lncRNA
ENSMUSG00000020647	Ncoa1	nuclear receptor coactivator 1 [Source:MGI Symbol;Acc:MGI:1276523]	protein_coding
ENSMUSG00000111938	2900045O20Rik	RIKEN cDNA 2900045O20 gene [Source:MGI Symbol;Acc:MGI:1920205]	lncRNA
ENSMUSG00000112422	Gm31938	predicted gene, 31938 [Source:MGI Symbol;Acc:MGI:5591097]	lncRNA
ENSMUSG00000112819	Gm46332	predicted gene, 46332 [Source:MGI Symbol;Acc:MGI:5825969]	lncRNA
ENSMUSG00000112505	Gm48610	predicted gene, 48610 [Source:MGI Symbol;Acc:MGI:6098196]	lncRNA
ENSMUSG00000118449	AC241534.1	novel transcript	lncRNA
ENSMUSG00000020640	Itsn2	intersectin 2 [Source:MGI Symbol;Acc:MGI:1338049]	protein_coding
ENSMUSG00000111971	Gm48678	predicted gene, 48678 [Source:MGI Symbol;Acc:MGI:6098299]	lncRNA
ENSMUSG00000079177	Fam228a	family with sequence similarity 228, member A [Source:MGI Symbol;Acc:MGI:1922105]	protein_coding
ENSMUSG00000050545	Fam228b	family with sequence similarity 228, member B [Source:MGI Symbol;Acc:MGI:2442121]	protein_coding
ENSMUSG00000020639	Pfn4	profilin family, member 4 [Source:MGI Symbol;Acc:MGI:1920121]	protein_coding
ENSMUSG00000037361	Sf3b6	splicing factor 3B, subunit 6 [Source:MGI Symbol;Acc:MGI:1913305]	protein_coding
ENSMUSG00000020635	Fkbp1b	FK506 binding protein 1b [Source:MGI Symbol;Acc:MGI:1336205]	protein_coding
ENSMUSG00000051721	Wdcp	WD repeat and coiled coil containing [Source:MGI Symbol;Acc:MGI:3040699]	protein_coding
ENSMUSG00000037336	Mfsd2b	major facilitator superfamily domain containing 2B [Source:MGI Symbol;Acc:MGI:3583946]	protein_coding
ENSMUSG00000020634	Ubxn2a	UBX domain protein 2A [Source:MGI Symbol;Acc:MGI:2442310]	protein_coding
ENSMUSG00000052812	Atad2b	ATPase family, AAA domain containing 2B [Source:MGI Symbol;Acc:MGI:2444798]	protein_coding
ENSMUSG00000020627	Klhl29	kelch-like 29 [Source:MGI Symbol;Acc:MGI:2683857]	protein_coding
ENSMUSG00000037735	2810032G03Rik	RIKEN cDNA 2810032G03 gene [Source:MGI Symbol;Acc:MGI:1919919]	lncRNA
ENSMUSG00000112404	Gm32442	predicted gene, 32442 [Source:MGI Symbol;Acc:MGI:5591601]	lncRNA
ENSMUSG00000112454	Gm48619	predicted gene, 48619 [Source:MGI Symbol;Acc:MGI:6098213]	lncRNA
ENSMUSG00000102096	1700101O22Rik	RIKEN cDNA 1700101O22 gene [Source:MGI Symbol;Acc:MGI:1920825]	lncRNA
ENSMUSG00000112323	Gm32828	predicted gene, 32828 [Source:MGI Symbol;Acc:MGI:5591987]	lncRNA
ENSMUSG00000112006	Gm48633	predicted gene, 48633 [Source:MGI Symbol;Acc:MGI:6098238]	lncRNA
ENSMUSG00000020609	Apob	apolipoprotein B [Source:MGI Symbol;Acc:MGI:88052]	protein_coding
ENSMUSG00000112694	Gm33037	predicted gene, 33037 [Source:MGI Symbol;Acc:MGI:5592196]	lncRNA
ENSMUSG00000037669	Ldah	lipid droplet associated hydrolase [Source:MGI Symbol;Acc:MGI:1916082]	protein_coding
ENSMUSG00000112441	Gm48898	predicted gene, 48898 [Source:MGI Symbol;Acc:MGI:6098663]	lncRNA
ENSMUSG00000037660	Gdf7	growth differentiation factor 7 [Source:MGI Symbol;Acc:MGI:95690]	protein_coding
ENSMUSG00000020605	Hs1bp3	HCLS1 binding protein 3 [Source:MGI Symbol;Acc:MGI:1913224]	protein_coding
ENSMUSG00000111889	Gm48071	predicted gene, 48071 [Source:MGI Symbol;Acc:MGI:6097401]	lncRNA
ENSMUSG00000112452	Gm48075	predicted gene, 48075 [Source:MGI Symbol;Acc:MGI:6097409]	lncRNA
ENSMUSG00000054364	Rhob	ras homolog family member B [Source:MGI Symbol;Acc:MGI:107949]	protein_coding
ENSMUSG00000112276	5033421B08Rik	RIKEN cDNA 5033421B08 gene [Source:MGI Symbol;Acc:MGI:1923240]	lncRNA
ENSMUSG00000020600	Slc7a15	solute carrier family 7 (cationic amino acid transporter, y+ system), member 15 [Source:MGI Symbol;Acc:MGI:3045351]	protein_coding
ENSMUSG00000020594	Pum2	pumilio RNA-binding family member 2 [Source:MGI Symbol;Acc:MGI:1931751]	protein_coding
ENSMUSG00000096940	Gm4755	predicted gene 4755 [Source:MGI Symbol;Acc:MGI:3779434]	lncRNA
ENSMUSG00000020592	Sdc1	syndecan 1 [Source:MGI Symbol;Acc:MGI:1349162]	protein_coding
ENSMUSG00000042976	9930038B18Rik	RIKEN cDNA 9930038B18 gene [Source:MGI Symbol;Acc:MGI:2442156]	lncRNA
ENSMUSG00000112891	Gm47391	predicted gene, 47391 [Source:MGI Symbol;Acc:MGI:6096314]	lncRNA
ENSMUSG00000020585	Laptm4a	lysosomal-associated protein transmembrane 4A [Source:MGI Symbol;Acc:MGI:108017]	protein_coding
ENSMUSG00000020583	Matn3	matrilin 3 [Source:MGI Symbol;Acc:MGI:1328350]	protein_coding
ENSMUSG00000066643	Wdr35	WD repeat domain 35 [Source:MGI Symbol;Acc:MGI:1921932]	protein_coding
ENSMUSG00000066637	Ttc32	tetratricopeptide repeat domain 32 [Source:MGI Symbol;Acc:MGI:1922766]	protein_coding
ENSMUSG00000113913	Gm46323	predicted gene, 46323 [Source:MGI Symbol;Acc:MGI:5825960]	lncRNA
ENSMUSG00000114000	Gm48762	predicted gene, 48762 [Source:MGI Symbol;Acc:MGI:6098445]	lncRNA
ENSMUSG00000112496	Gm48764	predicted gene, 48764 [Source:MGI Symbol;Acc:MGI:6098449]	lncRNA
ENSMUSG00000099360	1700022H16Rik	RIKEN cDNA 1700022H16 gene [Source:MGI Symbol;Acc:MGI:1916670]	lncRNA
ENSMUSG00000048387	Osr1	odd-skipped related transcription factor 1 [Source:MGI Symbol;Acc:MGI:1344424]	protein_coding
ENSMUSG00000112787	Gm48790	predicted gene, 48790 [Source:MGI Symbol;Acc:MGI:6098490]	lncRNA
ENSMUSG00000111925	Gm48791	predicted gene, 48791 [Source:MGI Symbol;Acc:MGI:6098492]	lncRNA
ENSMUSG00000020622	Nt5c1b	5'-nucleotidase, cytosolic IB [Source:MGI Symbol;Acc:MGI:1918131]	protein_coding
ENSMUSG00000020621	Rdh14	retinol dehydrogenase 14 (all-trans and 9-cis) [Source:MGI Symbol;Acc:MGI:1920402]	protein_coding
ENSMUSG00000112792	Gm38407	predicted gene, 38407 [Source:MGI Symbol;Acc:MGI:5621292]	lncRNA
ENSMUSG00000113620	7420701I03Rik	RIKEN cDNA 7420701I03 gene [Source:MGI Symbol;Acc:MGI:1918707]	lncRNA
ENSMUSG00000043673	Kcns3	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3 [Source:MGI Symbol;Acc:MGI:1098804]	protein_coding
ENSMUSG00000112041	9530020I12Rik	RIKEN cDNA 9530020I12 gene [Source:MGI Symbol;Acc:MGI:1924692]	lncRNA
ENSMUSG00000047002	Msgn1	mesogenin 1 [Source:MGI Symbol;Acc:MGI:1860483]	protein_coding
ENSMUSG00000051235	Gen1	GEN1, Holliday junction 5' flap endonuclease [Source:MGI Symbol;Acc:MGI:2443149]	protein_coding
ENSMUSG00000020608	Smc6	structural maintenance of chromosomes 6 [Source:MGI Symbol;Acc:MGI:1914491]	protein_coding
ENSMUSG00000054459	Vsnl1	visinin-like 1 [Source:MGI Symbol;Acc:MGI:1349453]	protein_coding
ENSMUSG00000097841	4930511A02Rik	RIKEN cDNA 4930511A02 gene [Source:MGI Symbol;Acc:MGI:1921962]	lncRNA
ENSMUSG00000086022	Rad51ap2	RAD51 associated protein 2 [Source:MGI Symbol;Acc:MGI:3644580]	protein_coding
ENSMUSG00000113226	Gm47808	predicted gene, 47808 [Source:MGI Symbol;Acc:MGI:6096991]	lncRNA
ENSMUSG00000113013	Gm47833	predicted gene, 47833 [Source:MGI Symbol;Acc:MGI:6097031]	lncRNA
ENSMUSG00000113330	Gm34237	predicted gene, 34237 [Source:MGI Symbol;Acc:MGI:5593396]	lncRNA
ENSMUSG00000020589	Fam49a	family with sequence similarity 49, member A [Source:MGI Symbol;Acc:MGI:1261783]	protein_coding
